Sample	Rawname	Barcode	Pedigree	Genotype	FW	Run	Batch	pyruvate	valine	leucine	isoleucine	glycerate	fumarate	threonine	beta-alanine	homoserine	aspartate	GABA	threonate	alpha-ketoglutarate	asparagine	glycerol-1-P	shikimate	ornithine	citrulline	citrate	allantoin	lysine	hydroxycinnamate	tryosine	sacchalic_acid	mucic_acid	caffeic_acid	glucose-6-P	turanose	maltose	chlorogenic_acid_1	galactinol	chlorogenic_acid_2	chlorogenic_acid_3	raffinose	phosphate	glycine	serine	malate	glutamate	trans-aconitate	quinic_acid	fructose	glucose	sucrose
MGH213	181205_017	81-213-C103	Ames 19284	C103	48.8	1	MGH1	0.302156624	0.615993133	0.900525961	0.814714534	0.166306276	1.106116021	0.777036654	1.76316852	1.438276066	1.079933411	0.295254782	0.614495218	0.31941424	1.950675976	0.794569295	1.188000982	1.642652912	2.209857066	0.457173201	0.703236611	0.864602257	0.690422132	1.036042697	0.616508336	1.016606306	0.912583476	0.955580025	0.787916197	1.128839045	0.043948764	1.890993906	0.720924058	0.13447423	4.150308119	1.342213138	0.755380448	0.736066529	0.758901725	0.481928606	0.926958939	0.97369443	0.926265225	1.053895902	0.600458474
MGH215	181205_019	81-215-NC260	Ames 27140	NC260	47.6	1	MGH1	0.295126146	1.589240881	1.815422691	2.215090808	0.528991764	0.728159893	1.274242698	2.528848284	2.267326131	1.479954868	4.716649144	0.666203648	0.311949634	3.547760933	1.804141233	0.662036421	1.882771906	3.359545905	1.034257284	2.146543304	1.679276151	0.796921109	1.930848836	1.229110211	0.885684273	0.60349367	1.351183298	0.621927172	1.214659378	0.516885026	0.258888128	3.220864864	2.647511266	0.325838909	1.826201123	1.271683184	1.686089852	0.52351167	0.563941507	1.084585869	0.518318903	1.585743127	1.458661215	0.583537778
MGH216	181205_020	81-216-NC336	Ames 27164	NC336	50.9	1	MGH1	0.74517429	1.392570519	2.014932372	1.950420171	0.742770173	0.561076015	1.062296891	1.010501063	1.385188467	0.892194788	0.425936123	0.976915856	1.434997946	2.05416138	0.914789529	0.415223931	2.061885029	1.059725635	1.067032325	0.641269705	1.087627966	0.536514069	1.791312528	1.242074276	0.977121938	0.79799457	1.631529585	1.529606293	0.695086501	0.155517657	0.643584189	1.048823408	0.138291927	1.981067804	1.461065835	4.858033592	2.219167154	0.771272373	0.616499833	0.998839185	0.26274711	1.600910848	1.384561056	0.867065109
MGH218	181205_021	81-218-ND246	PI 550490	ND246	51.3	1	MGH1	0.623533627	0.691827074	0.391502636	0.464377938	1.65550196	1.141527895	0.57446653	0.962694924	1.341863609	0.914676164	0.307122718	1.162834508	1.013219564	0.079724441	0.263580073	1.122237686	0.703410455	0.400661184	1.189377155	0.206633582	0.422266895	0.584139129	0.637741316	0.88155408	0.051449067	0.677368846	0.904126548	0.67077938	0.874768628	0.304714549	0.743280084	0.446054129	2.118535072	0.986150093	0.341307598	0.532240605	0.936790106	1.552143398	0.940358308	3.513791806	1.603913197	2.908966798	1.793687158	1.153120915
MGH219	181205_022	81-219-CH701-30	Ames 27069	CH701-30	55.5	1	MGH1	1.062368929	1.27982184	0.684144437	0.717675287	0.627013196	0.939098161	0.856911863	0.823916114	1.613495915	0.798386375	0.688261026	0.70017495	1.033487923	1.018122503	0.23146537	0.986183079	0.748500863	0.652919383	0.966374133	0.134076064	0.291913074	0.457563923	1.105049316	0.866468992	1.691520942	0.83644293	0.89150731	0.61437214	1.036312112	1.744987595	2.468534204	1.222623472	2.584964401	4.014833723	0.681552378	1.212872848	1.435312429	0.754650823	1.037427629	1.486643963	1.973632563	1.12075685	1.367662536	1.831241862
MGH221	181205_023	81-221-33-16	Ames 26771	33-16	50.5	1	MGH1	2.042924116	1.192725992	1.110615302	0.978460704	0.585229764	0.546484871	1.081735167	0.68925652	0.570377405	0.820536052	0.352595434	0.73747136	1.912400073	1.559743388	0.65996046	1.009177088	0.833680882	0.49804109	0.72962719	0.184317051	1.454916865	0.38988632	1.047411277	0.574223768	0.834844767	0.494021326	1.174984093	1.200904197	0.762668435	0.113733066	2.449311929	0.591921659	0.814290129	1.760511868	0.64687684	0.751385268	0.753087262	0.853267028	0.740811644	0.929383081	1.55452416	0.615256699	1.045936726	1.447298704
MGH222	181205_024	81-222-B73Htrhm	Ames 27065	B73Htrhm	51.4	1	MGH1	0.998511926	2.014971324	2.027681416	2.905929327	0.391823817	0.742444832	1.685048759	1.794518766	2.261953813	0.849576578	2.853692496	0.465921087	0.811063154	2.04118837	0.201279203	0.669104999	0.75750187	1.16816755	0.705103314	2.497917789	1.168968317	0.631193516	1.797224551	0.98736383	0.959926911	0.711473678	1.126571102	0.920146465	0.692200952	0.607668232	0.737331772	1.968646377	1.13996095	0.46447383	0.658648254	3.42302445	4.633811592	0.386491677	0.604121318	0.338870583	0.882751284	0.635396395	0.587484804	1.072865076
MGH224	181205_025	81-224-NC320	Ames 27156	NC320	51.6	1	MGH1	1.835824179	1.846683972	1.472515039	1.543714013	0.918492995	0.899138832	1.751805117	1.574370906	1.292553536	0.994499681	0.635131342	0.827488018	1.561566226	2.39354438	1.37359048	1.228444648	1.714367068	1.258115106	0.87198729	1.713616785	2.514392417	0.592627137	0.936019628	0.993454324	0.081002471	0.790831661	1.31366788	1.337295215	2.600005078	0.404213566	0.422551483	0.549201189	3.012745158	0.621106393	0.66927734	1.825635745	1.186281569	0.784906861	0.93615873	1.22947562	1.714341242	1.158524094	1.761425739	1.796958648
MGH225	181205_026	81-225-N6	Ames 27137	N6	56.5	1	MGH1	1.38116238	1.25452561	1.042330341	1.008666827	0.474112144	0.640263993	0.915873819	2.007295953	0.78960027	0.853347808	0.464969904	0.643718622	1.449658374	0.336950365	1.298845718	0.976554582	0.931236998	1.325915263	0.777511027	0.394090627	0.317214757	0.340654604	1.027396099	0.48299391	0.60110347	0.40871208	1.130106174	0.575904728	1.078953976	0.269190535	0.38112505	0.66562876	1.281499728	0.813315418	2.557295197	0.969214086	1.131714336	1.271543145	0.580649645	1.165117115	0.764058851	0.659801749	0.486801764	1.08439552
MGH226	181205_027	81-226-NC356	Ames 27174	NC356	49.2	1	MGH1	0.941975662	0.828685824	0.375078149	0.457276728	0.772499085	0.883057826	0.454948183	0.673872353	0.758392005	0.983572166	0.950731664	1.17108749	0.934547201	0.056621765	0.217507894	0.908138538	0.310659007	0.290377633	0.55998744	0.301202639	0.278207852	0.449552667	0.693168298	0.616246202	0.747043076	0.578967672	0.610966757	0.681689293	1.726501843	0.039880297	1.091274265	0.389799009	0.305786973	1.062958632	0.402340399	0.656611027	0.60880772	0.834858561	0.436446964	1.266061083	0.578035604	1.07142617	0.815436514	0.747240865
MGH227	181205_028	81-227-CO255	Ames 27107	CO255	50.6	1	MGH1	1.071172245	0.938573411	0.713242793	1.091346088	0.737236623	1.675894148	1.203549972	3.744785838	1.929697937	0.978762419	1.954984014	0.923797132	1.255624533	0.329555493	1.271963719	1.11560937	1.611693814	0.998878192	1.266353479	0.91834206	0.345474662	0.738554462	0.767782066	0.518602462	1.132077605	0.940442916	1.013017733	0.882024903	1.233244545	0.331092114	0.498558027	1.410631111	1.022678098	0.536039465	0.452056702	2.544488647	2.621985419	1.374939638	1.088127834	2.052667297	1.227640248	0.839848506	1.202539867	1.216649638
MGH228	181205_029	81-228-Va59	Ames 19016	Va59	49.2	1	MGH1	0.980443626	1.84233535	1.850965164	1.370025057	0.567018028	2.733789567	2.738871777	2.558394686	1.412460714	1.957667586	1.423995748	0.710461047	1.356927519	4.703310213	2.882150339	1.541957192	3.401204494	2.552728161	0.896826671	1.924921297	3.263171101	1.14527986	2.687451442	0.109766763	0.666575938	2.022171477	1.355723916	0.593062413	1.265298928	1.328219496	3.064046839	0.348463406	0.221316794	9.688866264	2.958809931	3.397473321	2.255986038	1.194230566	0.97453205	1.108701119	0.821507725	1.5294683	0.824560925	1.376887537
MGH229	181205_030	81-229-A682	PI 587143	A682	55.4	1	MGH1	0.704829025	0.49923541	0.154671923	0.267150616	0.719873733	0.637764092	0.678432205	0.973745865	0.931386877	0.843007496	0.200178461	0.407015222	0.856478064	0.08374763	0.344676536	1.038681039	1.019507849	0.916685443	0.478698625	0.181175851	0.211493199	0.483106399	0.591603951	0.476899908	0.389391725	0.742270745	0.598551633	0.44799783	0.940672616	0.120693822	2.639934566	1.040422377	0.198477138	2.036905344	0.801682785	0.770560002	0.439621066	1.328891912	0.465066711	1.82565268	1.342534205	1.027033887	1.260888981	0.503774017
MGH230	181205_031	81-230-I.A. 31	Ames 21810	I.A. 31	49.5	1	MGH1	0.455806791	0.481043607	0.417334009	0.297007345	1.339407641	0.54277908	0.69719484	0.588119283	0.677511063	0.929586545	0.348786665	1.198799096	0.556177862	0.457165354	0.881565949	1.041461977	0.594588841	0.342418764	1.001593494	0.327432462	0.163602195	0.70200361	0.360936658	0.47255611	0.284039275	0.903551302	0.907657522	0.77246777	0.58056096	0.116314458	0.508610108	0.748836467	1.238445601	0.383130801	0.350215414	0.396815016	0.493403583	0.738146965	0.72769382	0.812520766	0.923149357	0.594365272	0.719848027	1.026007491
MGH231	181205_032	81-231-NC370	Ames 27181	NC370	55	1	MGH1	0.755197656	0.783054284	0.889904348	0.951733883	1.028438611	0.838253035	1.103669903	0.921942828	1.536065185	0.768770671	0.312055565	0.969851307	1.217917089	1.232456242	0.498816194	0.94806122	1.253461032	0.832796742	0.779367429	0.481200622	0.304246486	0.437695241	0.691889905	0.725973157	0.141308851	0.421654805	1.221322375	1.066666503	2.508089271	0.176843417	0.546291424	0.904419782	2.133692325	0.793186206	0.860843971	0.952284105	0.905827044	1.09884173	0.940607809	2.014354223	1.641254929	0.827356883	1.147713225	1.715993076
MGH232	181205_033	81-232-NC324	Ames 27158	NC324	51.6	1	MGH1	0.508026807	2.088355392	7.112492636	5.858725812	0.677547704	3.132952638	2.319825278	4.47743289	2.597341817	0.856544229	3.267793933	1.244317388	0.688198043	2.058210582	0.396027784	0.874530474	4.557817079	3.266317385	1.062855023	2.274644381	1.795687463	0.622356107	1.835917415	3.861312197	2.154924276	0.948463093	1.590681774	0.741318099	0.61648147	31.18046404	1.250446282	1.979604031	1.86762177	1.675463794	1.103689918	2.128469642	3.077111471	1.120996811	1.023829121	1.009677114	0.597005643	1.187628266	0.784458628	0.989794877
MGH233	181205_034	81-233-CH9	Ames 27068	CH9	51	1	MGH1	0.530640795	0.962179914	0.858384211	0.778605178	1.770076591	0.880388252	0.701303454	0.802292825	0.81384371	0.928629361	0.993486877	0.70270774	0.77456857	0.121465186	0.419496943	1.065299504	0.522288878	0.654798634	0.800605061	0.305261882	0.254996486	0.536128818	0.824564697	0.599032011	0.21634018	0.632950435	0.675879669	0.699882279	0.966603039	0.62677988	0.95897147	0.992646056	1.233058464	0.88730241	0.44030618	0.796359495	0.884530549	1.462838161	0.686736877	1.798971859	1.076351558	0.764846566	0.855019792	0.859575776
MGH234	181205_035	81-234-DE811	PI 550558	DE811	54.6	1	MGH1	0.700990251	0.603464716	0.171811702	0.128205096	0.639689997	0.68896568	0.758885402	0.718612817	2.148438245	0.688907425	1.571078341	0.755239868	1.092006261	1.558352929	0.213262781	0.502328669	2.971976098	1.815127879	0.899948818	1.461828172	1.418480009	2.186950086	0.858674181	0.59846543	4.07196215	0.103694769	1.423086508	1.024035878	0.732656229	4.988682055	0.095216304	0.321220205	0.403006724	0.074331879	1.951838371	1.364278093	1.08967977	0.669547386	0.875562563	0.650420594	0.41330578	0.302085218	0.238987145	0.906100053
MGH235	181205_036	81-235-A554	PI 587138	A554	52.4	1	MGH1	1.363544644	0.691040307	0.784012216	0.687586232	0.516954867	1.308556949	0.73503635	1.258819909	0.744718486	1.049943824	0.23107417	0.669900389	0.908005802	0.036988652	0.36043008	0.844300452	1.559844588	1.79819493	1.186879678	0.15315687	2.714945944	2.627856072	1.158651174	0.585668486	1.381061822	0.528710961	0.826522656	1.01243328	0.80745764	1.44775691	1.051763274	0.691441165	0.441765934	1.227352949	1.192600992	0.673423048	0.781776486	1.469801444	0.613117972	1.178799194	0.523120773	1.843819795	1.380873184	1.095506291
MGH236	181205_037	81-236-A634	Ames 19308	A634	52.1	1	MGH1	0.33203531	0.799541234	0.816930367	0.729016079	0.591185449	1.303228327	0.910447283	0.447230913	0.805944948	1.023810134	0.64378854	0.945603299	0.858725213	0.073609439	0.24804359	1.139906625	0.413999263	0.457096187	0.503391363	0.148549263	0.240404578	1.35617701	0.541304258	0.109130253	0.783411312	0.663065409	0.701739452	1.008799785	0.821616506	0.087914531	0.319691852	0.333252555	1.238898557	0.222824602	0.643631056	0.438369859	0.653506933	1.712278159	0.678735407	0.708982689	0.995284051	0.949414517	0.441729276	0.968078082
MGH237	181205_038	81-237-I.A. 16	Ames 21797	I.A. 16	50.2	1	MGH1	1.211877639	0.571603199	0.476009238	0.460763742	1.077902899	0.556229485	0.950784585	0.67924379	0.430579016	1.002941237	0.976993098	1.348080509	1.198408315	0.352212547	1.989426766	1.138022553	0.235991177	0.21403343	0.75575107	2.485136671	3.153284956	1.007203121	0.412354084	1.286140817	0.568145068	0.995960582	1.051980745	1.376919646	0.625874954	0.070795867	1.060353693	0.596411703	0.390611612	1.96517662	1.395105309	0.496928684	0.67247997	0.493394593	0.805549317	0.931454464	0.892235858	0.818277061	0.822124547	0.955848753
MGH238	181205_039	81-238-Tamaulipas 92	PI 628503	Tamaulipas 92	54.2	1	MGH1	0.753382319	0.356919233	0.250584103	0.206653159	1.378900905	1.038130665	0.367166786	0.335257625	0.599491942	0.972873099	0.204112614	1.278741246	0.728673753	0.015029802	0.745073823	1.199884842	0.437422233	0.0403745	1.251192759	0.058855906	0.366523716	1.463347828	0.484327071	0.946731724	0.945281905	1.018740535	0.968444919	0.485319657	1.560492781	0.361712012	0.586957276	0.970471234	0.44850186	0.762457947	0.304378837	0.327858701	0.332215814	1.162735906	0.515850191	2.397402383	2.020173823	0.863357688	1.089836637	0.577082798
MGH239	181205_040	81-239-CML261	Ames 27091	CML261	48.3	1	MGH1	1.111048566	1.702792604	1.536791389	1.642322342	1.42555648	0.246265668	1.928382555	1.878713796	1.506169112	1.140631886	0.200048391	0.969858225	1.467469591	2.710599849	1.375964583	1.351366168	1.493790433	1.277638484	1.495121764	3.333089334	1.025633555	0.939556753	0.865771726	1.178153841	1.789217697	0.304770467	0.726993276	0.711494781	0.710567014	0.054551995	0.097086765	0.818341545	0.116446204	0.116661851	0.988618217	1.997197727	1.945493627	0.340554443	0.528507851	1.340746537	1.117016815	0.83705824	0.697579331	0.505263735
MGH240	181205_041	81-240-Os420	NSL 65874	Os420	42.6	1	MGH1	0.78612678	0.42889382	0.230448871	0.208080147	1.663896302	0.581726513	0.34926079	0.592311526	0.544521368	1.218974862	0.391604724	0.720802566	0.94449814	0.021787696	0.666776028	1.257479983	0.633906542	0.532505714	1.313583427	0.16135115	0.328943381	0.657339319	0.47389447	0.505927011	0.57644463	0.327758478	0.694112912	0.483027199	0.69188664	1.213253904	0.192695904	1.18008501	1.683455915	0.384882565	0.791091371	0.408857884	0.451620661	1.106658502	0.454996022	2.177951874	1.007328924	0.64292499	0.713303794	0.535338765
MGH241	181205_042	81-241-Mo44	Ames 28939	Mo44	48	1	MGH1	0.743766211	0.703518569	0.328031085	0.281184133	0.413752461	1.778650758	0.657385511	0.913234446	1.246297497	1.137370585	0.734696576	0.602085624	0.822417467	0.112112723	0.956533688	0.922479764	2.187262936	1.580567858	0.722717841	0.414491082	0.613322298	0.668477807	0.969442359	0.684233452	1.090422035	0.674401545	0.846774785	0.652427989	0.908766134	0.216131737	0.667532525	0.340919405	0.534733552	1.44598454	2.256673915	0.778206105	0.621284011	1.478360493	0.578789853	0.793525894	0.772878247	0.940177985	1.046659579	1.269959559
MGH242	181205_043	81-242-A214N	PI 406112	A214NGoodman-Buckler	49.4	1	MGH1	0.413048138	0.645000156	0.421103001	0.25504302	1.945751583	0.81739219	0.677497451	0.660371963	0.896177558	1.080757095	0.803555481	0.748225268	0.659863174	0.876763629	0.661408878	0.64717948	0.886696112	0.62529845	1.205327457	0.367565949	0.925360777	1.070029703	0.997020215	0.500886141	0.573493205	0.890950822	0.913256641	0.512842982	0.55817943	1.108397727	0.169762356	0.258020961	0.506410409	0.156059133	1.051213851	0.767933013	0.875962401	0.699472571	0.599426263	0.753856633	0.658895819	0.362612014	0.31819602	0.846689893
MGH243	181205_044	81-243-Oh43	Ames 19288	Oh43	53.9	1	MGH1	0.773079757	0.581806104	0.684094282	0.604060657	1.061842278	0.900308631	0.686942783	0.77034565	0.870611119	0.869589847	0.26226855	0.815836357	0.902699291	0.027116398	0.214818614	1.023428352	0.42694682	0.265781033	1.010044695	0.279873896	1.352376306	0.808202478	0.51579496	0.624001316	0.276063348	1.200421148	1.118307018	0.826111866	0.870622331	1.315105575	0.419457247	0.468585198	0.302392412	1.038426784	0.136759695	0.560150365	NA	NA	NA	0.137619369	NA	NA	0.577792908	0.189294986
MGH244	181205_045	81-244-EP1	Ames 27111	EP1	51.9	1	MGH1	0.620940295	0.602789937	0.543134573	0.694378173	0.937507884	0.981228373	0.798476043	1.125257954	0.521824279	0.878060386	1.418667005	0.89414667	0.856471819	0.101356429	0.12787546	1.0578704	0.408048406	0.375049735	0.710923319	0.991666469	0.367395848	0.799216974	0.403728411	0.640633137	1.264891751	1.128613565	0.753120884	0.63418921	0.766436455	3.277968484	0.055535476	2.049524185	2.839604819	0.047202065	1.6032233	1.529497485	0.508564296	0.568262713	0.491758042	0.762849488	0.68799352	0.605992534	0.699547401	0.845998768
MGH245	181205_046	81-245-B68	PI 550465	B68	56.5	1	MGH1	1.059316775	0.841746345	0.539230457	0.411707209	1.191346948	2.188605649	0.975234854	0.635939559	0.80102778	0.889826742	1.271862821	0.74597184	1.481250584	0.164877786	1.099992582	0.943435935	0.876732789	0.709351802	0.91268308	0.277402871	0.745298288	1.993932743	0.932042337	0.552319243	0.666897246	0.282686815	1.403027301	0.882290906	0.782113578	0.337022991	0.211589001	0.544550809	2.170400125	0.16733608	1.552852639	0.744349043	0.763331716	1.402007375	0.730338697	0.395003318	0.7791991	0.529584388	0.357558469	1.411447566
MGH246	181205_047	81-246-I.A. 28	Ames 21808	I.A. 28	47.9	1	MGH1	0.861684891	0.773758314	0.955716483	0.831297097	2.975773026	0.52419423	1.34155565	1.060828275	0.689301124	1.241123001	0.415205379	1.130275578	0.8163536	1.147840485	1.199247424	0.678798572	0.468955098	0.306975878	0.959693014	1.725595648	3.63392566	1.243842555	0.576393167	0.768028778	0.4103572	0.767964998	0.635947732	0.713130117	0.906727109	0.156860273	0.981570492	1.233157484	0.507264827	0.40623363	0.283967883	0.658824338	0.725799326	0.618738454	1.053461032	0.800248367	0.63345576	0.253580798	0.611713627	0.839019775
MGH247	181205_048	81-247-Chiapas 70	PI 620774	Chiapas 70	50.8	1	MGH1	1.009869081	0.655309381	0.275438589	0.376902386	0.848398138	1.413456349	0.759242395	0.962865398	0.627629135	1.130947901	0.694962375	0.725049801	0.808773603	0.054577055	0.555352134	1.358615576	0.620481343	0.437956511	1.406095856	0.457035923	0.291967243	0.789469991	0.678951241	0.628557934	0.797523225	0.753546246	0.704960658	0.805268021	0.655731882	0.043114914	0.544376462	0.418022393	0.156315441	0.755520163	0.814416041	0.550600591	0.528852717	1.018917899	0.946487636	1.211773017	1.128906166	0.558224274	0.632280222	0.939514885
MGH248	181205_049	81-248-CML258	Ames 27090	CML258	50.6	1	MGH1	0.718470458	0.955829002	0.713643097	0.850325353	1.457447248	0.460679005	0.699859548	0.552548226	0.679762687	1.046602316	0.258824987	0.690749019	1.254436567	0.163358705	0.602260434	1.291568109	0.64472831	0.516019956	1.298604623	0.214809824	0.470686982	1.0777321	0.677729797	0.696236239	0.517204798	1.17581679	1.108702034	0.632347551	1.072088589	0.216255244	0.821030124	0.740924432	0.558075124	1.034195922	1.846580328	0.712521831	0.780617872	1.411351381	1.102485775	1.13406534	2.129630039	1.150947164	0.900025937	1.006517211
MGH249	181205_050	81-249-SD44	PI 524969	SD44	49.4	1	MGH1	0.547190357	1.885859846	0.606862817	1.08878338	1.725514289	0.627800927	0.72165997	0.599542018	1.272805332	0.917538622	0.742004494	0.975949332	0.915716773	0.056492424	0.23634989	1.109016404	0.897069175	0.828424088	1.200889833	0.220217609	0.373175811	1.091958165	0.897740618	0.654996932	2.252925927	1.209050197	1.150368248	0.691700889	0.631555254	0.137129068	0.269662142	0.293422808	0.016855411	0.279965929	1.315366853	0.547475674	0.496734705	1.840023317	1.016280099	1.118194936	0.534139301	0.529531014	0.501482282	0.522612536
MGH250	181205_051	81-250-I137TN	Ames 27116	I137TN	27.9	1	MGH1	0.67446274	1.386003351	1.263183088	1.143280721	0.982252722	0.615759411	1.274105983	1.101125483	1.559806717	1.659499932	0.584441393	1.16372833	0.650457633	2.725493744	0.613261088	0.98358049	2.035500987	2.296492226	1.29270467	1.413743402	1.290995907	1.025591457	1.011742593	1.210618702	0.585680818	1.287656717	0.98893048	0.756708796	0.760351453	0.55672008	1.437680356	0.725669911	0.465666484	2.176212668	0.539566936	0.869677506	1.370871508	0.551259354	0.341039085	NA	0.507078809	0.851449256	0.500758762	0.578493518
